,code,filmo,movie_code,average_audience
12287,10053981,터치,20125446,772719
12197,10002127,립반윙클의 신부: 스페셜 에디션,20160645,14193
12213,20157565,내가 살인범이다,20124075,0
12104,10028517,가족시네마,20121421,958961
12297,20181200,터치,20125446,0
12220,20142388,내가 살인범이다,20124075,0
12253,20113811,가려진 시간,20154905,0
12263,20112741,어바웃 레이,20162109,256535
12288,10005839,터치,20125446,1459660
12276,20252109,미씽: 사라진 여자,20153741,0
12272,10024795,위스키 탱고 폭스트롯,20168747,948833
12088,10075138,업사이드 다운,20120562,557653
12129,10058925,외사경찰,20120465,1378442
12230,10066805,내가 살인범이다,20124075,941836
12275,10001919,미씽: 사라진 여자,20153741,611724
12261,20265972,두 남자,20160472,0
12271,10057917,위스키 탱고 폭스트롯,20168747,712784
12245,10002548,가려진 시간,20154905,63221
12244,10006545,가려진 시간,20154905,1268278
12260,20259119,두 남자,20160472,0
12226,20232246,내가 살인범이다,20124075,0
12221,20144776,내가 살인범이다,20124075,0
12282,20198169,미씽: 사라진 여자,20153741,0
12251,20267582,가려진 시간,20154905,0
12286,20246331,순종,20161603,0
12291,20179677,터치,20125446,0
12290,10060502,터치,20125446,0
12241,10000558,가려진 시간,20154905,3844745
12162,10050872,세상에서 고양이가 사라진다면,20162147,1093
12296,20181119,터치,20125446,0
12170,10035745,가족시네마,20121421,2211407
12257,20209286,두 남자,20160472,0
12222,20162282,내가 살인범이다,20124075,0
12225,20136191,내가 살인범이다,20124075,1134568
12237,20267615,야근 대신 뜨개질,20154428,0
12187,10005839,가족시네마,20121421,1464911
12198,20170383,립반윙클의 신부: 스페셜 에디션,20160645,5064
12258,20142517,두 남자,20160472,0
12212,10003544,내가 살인범이다,20124075,0
12265,10036277,드래곤 포스 극장판,20151783,89746
12234,10091024,비지터,20081818,2205
12219,20150606,내가 살인범이다,20124075,0
12243,20217767,가려진 시간,20154905,0
12278,20149821,미씽: 사라진 여자,20153741,0
12255,10005129,나의 살던 고향은,20162608,0
12294,20180570,터치,20125446,0
12273,20268129,미씽: 사라진 여자,20153741,0
12280,20184580,미씽: 사라진 여자,20153741,0
12229,10060043,내가 살인범이다,20124075,1254906
12300,20182229,터치,20125446,0
12250,20257773,가려진 시간,20154905,0
12289,20179273,터치,20125446,0
12231,10020235,비지터,20081818,237953
12354,10083291,로그 원: 스타워즈 스토리,20163183,166869
12350,10003464,딜쿠샤,20140256,38725
12316,20185091,내가 고백을 하면,20120107,0
12323,20250217,카페 6,20162928,0
12318,20179562,북 오브 러브,20160841,6915
12304,20111298,터치,20125446,0
12327,10050227,내 심장이 건너 뛴 박동,20080215,12513
12343,20248330,루돌프와 많이있어,20162727,0
12459,10001707,휴가,20167102,430
12326,10016462,내 심장이 건너 뛴 박동,20080215,15955
12325,10017665,햄릿,20163200,11545
12331,10046253,뷰티풀 레이디스,20155805,0
12358,10083379,로그 원: 스타워즈 스토리,20163183,274412
12336,10069145,도성풍운 3,20162207,91441
12324,10030708,햄릿,20163200,1177334
12381,10057679,작은 형,20149258,37482
12322,20250215,카페 6,20162928,0
12313,20181494,내가 고백을 하면,20120107,0
12346,10038091,루돌프와 많이있어,20162727,1323
12378,20257031,작은 형,20149258,0
12332,10042975,뷰티풀 레이디스,20155805,141622
12357,10019875,로그 원: 스타워즈 스토리,20163183,6055
12365,20156031,연애담,20159286,2348
12344,20248311,루돌프와 많이있어,20162727,0
12364,20112023,연애담,20159286,6708
12301,20183260,터치,20125446,0
12337,10053575,도성풍운 3,20162207,94786
12308,10017519,줄리에타,20163196,0
12302,20183852,터치,20125446,0
12319,10053795,에스 파트너,20160863,122
12389,20195914,형,20154661,0
12321,20250231,카페 6,20162928,0
12382,10087366,작은 형,20149258,0
12368,20223787,연애담,20159286,0
12351,20191047,딜쿠샤,20140256,0
12310,10049959,내가 고백을 하면,20120107,157189
12407,10081830,스퀴즈,20162829,0
12362,20147107,연애담,20159286,3089
12396,10077997,브레이킹 던 part2,20126469,462222
12380,20196230,작은 형,20149258,0
12307,10049632,줄리에타,20163196,0
12320,20250230,카페 6,20162928,0
12328,10009099,내 심장이 건너 뛴 박동,20080215,25162
12392,20247009,워킹 스트리트,20162546,0
12376,20267590,작은 형,20149258,0
12349,20178940,딜쿠샤,20140256,781
12424,20256453,미스 사이공 : 25주년 특별 공연,20163824,0
12312,10087526,내가 고백을 하면,20120107,0
12374,10070602,작은 형,20149258,11122
12309,10006120,내가 고백을 하면,20120107,325723
12342,20248329,루돌프와 많이있어,20162727,0
12347,10027452,루돌프와 많이있어,20162727,167829
12314,20183253,내가 고백을 하면,20120107,0
12469,20144840,자칼이 온다,20126089,0
12453,20248330,루돌프와 많이있어,20162727,0
12345,10055024,루돌프와 많이있어,20162727,48591
12458,10090473,루돌프와 많이있어,20162727,142
12306,20233528,터치,20125446,2421011
12510,20134313,유신의 추억-다카키 마사오의 전성시대,20122201,0
12335,10059234,레이디 수잔,20160821,22365
12468,20182498,자칼이 온다,20126089,0
12478,10047810,신비한 동물사전,20162365,88905
12352,20146447,딜쿠샤,20140256,0
12454,20248311,루돌프와 많이있어,20162727,0
12434,10044079,잭 리처: 네버 고 백,20166363,48844
