,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
156,일탈여행: 프라이빗 아일랜드,한국,(주)팝엔터테인먼트,2985999,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,23,694,2013-09-05,2519
157,잡스,미국,(주)넥스트엔터테인먼트월드(NEW),100032,5746515,12세이상관람가,드라마,2013-08-29,400,33062,2013-09-05,198066
158,짚의 방패,일본,(주)미디어데이,25158,197974,15세이상관람가,액션|스릴러,2013-08-29,30,1186,2013-09-05,4395
159,탱고 위드 미,벨기에,(주)에스와이코마드,25158,56451,청소년관람불가,드라마,2013-08-29,7,145,2013-09-05,1344
160,할매,한국,'탁주'조합,215483,0,15세이상관람가,다큐멘터리,2013-08-29,1,5,2013-09-05,216
161,할매-시멘트정원,한국,'탁주'조합,54220,0,15세이상관람가,다큐멘터리,2013-08-29,1,5,2013-09-05,30
162,2 데이즈 인 뉴욕,프랑스,예지림엔터테인먼트,0,797230,15세이상관람가,코미디|드라마|멜로/로맨스,2013-08-29,19,390,2013-09-05,3465
163,개똥이,한국,(주)씨타마운틴픽쳐스,383336,0,청소년관람불가,드라마,2013-09-05,6,29,2013-09-12,480
164,더블샤크,미국,(주)케이알씨지,383336,0,청소년관람불가,공포(호러)|스릴러,2013-09-05,5,330,2013-09-12,4410
165,뫼비우스,한국,(주)넥스트엔터테인먼트월드(NEW),507425,632671,청소년관람불가,드라마,2013-09-05,123,4959,2013-09-12,30300
166,미스체인지,한국,브릿지웍스 엔터테인먼트(주),10,0,청소년관람불가,코미디,2013-09-05,38,285,2013-09-12,6054
167,바람이 분다,일본,롯데쇼핑㈜롯데엔터테인먼트,258824,12696,전체관람가,애니메이션|드라마,2013-09-05,274,12191,2013-09-12,94621
168,블링 링,미국,찬란,221,2281310,청소년관람불가,범죄|드라마,2013-09-05,29,567,2013-09-12,4243
169,섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,미국,(주)팝엔터테인먼트|(주)제이엠씨미디어,73132,0,청소년관람불가,드라마|스릴러,2013-09-05,18,720,2013-09-12,824
171,시체 전문 처리반 - 스머글러,일본,(주)미디어데이,0,0,청소년관람불가,스릴러|액션,2013-09-05,6,375,2013-09-12,1406
172,잔다라: 더 비기닝,태국,(주)영화사 빅,0,11215,청소년관람불가,멜로/로맨스|드라마,2013-09-05,12,154,2013-09-12,1600
173,천안함 프로젝트,한국,(주)아우라픽처스,0,2361619,12세이상관람가,다큐멘터리,2013-09-05,33,1258,2013-09-12,8370
174,콜드 워,홍콩,(주)앤드플러스미디어웍스,453895,0,15세이상관람가,범죄|액션,2013-09-05,18,396,2013-09-12,2285
175,킬링시즌,미국,(주)팝파트너스,548488,408277,청소년관람불가,액션|스릴러,2013-09-05,102,878,2013-09-12,8860
176,포가튼 : 잊혀진 소녀,독일,㈜영화사 백두대간,1159,47651,15세이상관람가,드라마|미스터리|스릴러,2013-09-05,10,138,2013-09-12,1639
177,마리아 스투아르다,미국,(주)인스터피씨엠,0,0,전체관람가,공연|드라마|멜로/로맨스,2013-09-07,2,49,2013-09-14,162
178,관상,한국,(주)쇼박스,0,13247240,15세이상관람가,사극|드라마,2013-09-11,927,373552,2013-09-18,3847363
179,낭만파 남편의 편지,한국,(주)퍼스트런,955175,3526,청소년관람불가,드라마|가족|판타지,2013-09-12,6,114,2013-09-19,721
180,늑대인간,스페인,(주)소나무픽쳐스,0,0,청소년관람불가,액션,2013-09-12,1,201,2013-09-19,1553
181,몬스터 대학교,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),1,1722238,전체관람가|전체관람가,애니메이션,2013-09-12,273,9957,2013-09-19,347303
182,부에노스 아이레스에서 사랑에 빠질 확률,아르헨티나,(주)영화사 진진,0,0,15세이상관람가,코미디|드라마,2013-09-12,10,247,2013-09-19,6228
183,섀도우 헌터스: 뼈의 도시,미국,롯데쇼핑㈜롯데엔터테인먼트,0,1496393,15세이상관람가,판타지|액션,2013-09-12,352,34177,2013-09-19,359054
184,슈퍼배드 2,미국,유니버설픽쳐스인터내셔널 코리아(유),0,3760013,전체관람가|전체관람가,애니메이션,2013-09-12,303,6262,2013-09-19,447284
185,우리 선희,한국,(주)영화제작전원사 |(주)영화사 조제,129645,5047800,청소년관람불가,드라마,2013-09-12,38,2129,2013-09-19,24708
186,퍼시 잭슨과 괴물의 바다,미국,이십세기폭스코리아(주),486,2568431,12세이상관람가|12세이상관람가,판타지|어드벤처,2013-09-12,380,12304,2013-09-19,301393
187,아메리칸 배틀쉽,미국,(주)케이알씨지,18774,0,15세이상관람가,액션|스릴러,2013-09-16,2,520,2013-09-23,3482
188,알렉산더 : 절대 영웅의 탄생,러시아,(주)소나무픽쳐스,17515,0,15세이상관람가,액션|어드벤처,2013-09-17,1,203,2013-09-24,1358
189,컨저링,미국,워너브러더스 코리아(주),0,1009273,15세이상관람가,공포(호러)|스릴러,2013-09-17,304,81130,2013-09-24,974182
190,프리버즈: 밍쿠와 찌아의 도시 대탈출,아르헨티나,(주)영화사 빅,4682,11263,전체관람가,애니메이션|어드벤처,2013-09-17,133,2342,2013-09-24,40004
191,러시안 소설,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),1022,119145,15세이상관람가,드라마|미스터리,2013-09-19,11,227,2013-09-26,2379
193,블루 재스민,미국,(주)인벤트스톤,2088949,1263441,15세이상관람가,드라마,2013-09-25,204,8659,2013-10-02,74420
194,짓,한국,(주)팝파트너스,0,0,청소년관람불가,멜로/로맨스,2013-09-25,148,2467,2013-10-02,22942
195,퍼펙트,미국,(주)마인스 엔터테인먼트,62679,2054255,청소년관람불가,액션|범죄|드라마,2013-09-25,115,2775,2013-10-02,16564
