,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
1719, 박스트롤,20142301,그레이엄 애나블|안소니 스타치,10081282|10043454,0,미국,2014-11-06,2014-11-06,163,1326,2014-11-19,87504
1798, 워 호스,20143284,톰 모리스|마리안느 앨리엇,20194466|20199376,0,영국,2014-11-22,2014-11-22,17,475,2014-12-05,0
1789, 뉴타입 히어로 얏타맨,20126590,히시다 마사카즈|사사가와 히로시,20129369|20129370,73571,일본,2012-06-21,2012-06-21,8,36,2012-07-04,2003
1775, 스타빙 게임,20142963,제이슨 프레드버그|아론 셀처,20112826|20112825,0,미국,2014-11-20,2014-11-20,1,10,2014-12-03,0
1738, 레디액션 청춘,20148619,김진무|박가희|주성수|정원식,20114292|20188661|20141934|20188662,424258,한국,2014-11-13,2014-11-13,19,163,2014-11-26,2427
1717, 다우더,20149514,구혜선,10002274,19987,한국,2014-11-06,2014-11-06,38,293,2014-11-19,3446
1739, 레디액션 청춘,20148619,김진무|박가희|주성수|정원식,20114292|20188661|20141934|20188662,424258,한국,2014-11-13,2014-11-13,19,163,2014-11-26,2427
1782, 시작은 키스!,20126408,다비드 포앙키노스|스테판 포엔키노스,20128730|10038811,0,프랑스,2012-06-14,2012-06-14,29,935,2012-06-27,17287
1799, 워 호스,20143284,톰 모리스|마리안느 앨리엇,20194466|20199376,0,영국,2014-11-22,2014-11-22,17,475,2014-12-05,0
1756, 틴토 브라스의 아모르,20070349,틴토 브라스 ,10081712,11316,이탈리아,2014-11-13,2014-11-13,1,5,2014-11-26,0
1751, 치어리더는 모두 죽는다,20149645,럭키 맥키|크리스 시버트슨,10014786|10077137,10,미국,2014-11-13,2014-11-13,1,54,2014-11-26,0
1764, 어린 유부녀의 성적유희,20143701,타무라 타카유키,10079165,4,일본,2014-11-19,2014-11-19,1,5,2014-12-02,0
1759," 금지된 섹스, 스와핑",20143702,이시카와 지로,10069850,15,일본,2014-11-19,2014-11-19,1,5,2014-12-02,0
1796, 퓨리,20140694,데이비드 에이어,10011476,635178,미국,2014-11-20,2014-11-20,517,74695,2014-12-03,1114156
1760, 나쁜 여자는 맛있다,20143801,조우 사다오,20169627,37,일본,2014-11-19,2014-11-19,1,10,2014-12-02,0
1778, 락아웃: 익스트림미션,20124946,제임스 매더스|스테판 St. 레게르,10064084|20128130,0,미국,2012-06-14,2012-06-14,328,33802,2012-06-27,450051
1750, 철의 꿈,20147451,박경근,10028414,0,한국,2014-11-13,2014-11-13,9,51,2014-11-26,1013
1780, 방황하는 소녀들,20127226,위트 스틸먼,10052913,7071,미국,2012-06-14,2012-06-14,1,5,2012-06-27,0
1791, 두 개의 문,20112443,김일란|홍지유,10005439|10089864,1140,한국,2012-06-21,2012-06-21,16,1079,2012-07-04,20124
1727, 상해전기,20148353,지아 장 커,10069980,3570,중국,2014-11-07,2014-11-07,1,65,2014-11-20,104
1765, 초왕가슴 미녀의 고민,20143390,이치세 유지,20199577,0,일본,2014-11-19,2014-11-19,1,54,2014-12-02,0
1752, 치어리더는 모두 죽는다,20149645,럭키 맥키|크리스 시버트슨,10014786|10077137,10,미국,2014-11-13,2014-11-13,1,54,2014-11-26,0
1784, 지알로,20127087,다리오 아르젠토,10009624,135286,미국,2012-06-14,2012-06-14,1,100,2012-06-27,0
1776, 스타빙 게임,20142963,제이슨 프레드버그|아론 셀처,20112826|20112825,0,미국,2014-11-20,2014-11-20,1,10,2014-12-03,0
1779, 락아웃: 익스트림미션,20124946,제임스 매더스|스테판 St. 레게르,10064084|20128130,0,미국,2012-06-14,2012-06-14,328,33802,2012-06-27,450051
1758, 파이터: 죽음의 토너먼트,20143690,마이크 뮐러,10022682,0,독일,2014-11-18,2014-11-18,1,54,2014-12-01,0
1769, 더 덴,20143641,재커리 도노휴,10032106,0,미국,2014-11-20,2014-11-20,20,1221,2014-12-03,0
1786, 파우스트,20124366,데스 맥가너프,20166583,0,미국,2012-06-19,2012-06-19,2,15,2012-07-02,0
1793, 액트 오브 킬링,20148424,조슈아 오펜하이머,10066339,5149,덴마크,2014-11-20,2014-11-20,32,423,2014-12-03,5620
1754, 토마스와 친구들: 잃어버린 왕관,20143325,롭 실베스트리,10040734,27345,영국,2014-11-13,2014-11-13,51,686,2014-11-26,14107
1771, 몬스터 울프,20143681,토도 채프카노브,20191747,755,미국,2014-11-20,2014-11-20,4,214,2014-12-03,0
1792, 두 개의 문,20112443,김일란|홍지유,10005439|10089864,1140,한국,2012-06-21,2012-06-21,16,1079,2012-07-04,20124
1790, 뉴타입 히어로 얏타맨,20126590,히시다 마사카즈|사사가와 히로시,20129369|20129370,73571,일본,2012-06-21,2012-06-21,8,36,2012-07-04,2003
1788, 모든 여자에게 거짓이 있다,20127492,호우 라충소|호라이 타다아키,20129650|20167863,0,일본,2012-06-20,2012-06-20,1,10,2012-07-03,0
1761, 노리개 강사 히카루,20143388,칸바라 이쿠토,20187906,37,일본,2014-11-19,2014-11-19,1,54,2014-12-02,0
1773, 봄,20130573,조근현,10065272,0,한국,2014-11-20,2014-11-20,104,1117,2014-12-03,13787
1755, 토미웅거러 스토리,20143107,브래드 번스타인,10042006,0,프랑스,2014-11-13,2014-11-13,3,21,2014-11-26,343
1763, 순수의 신부-우리 신랑은,20143389,히로타 미키오,10090995,48,일본,2014-11-19,2014-11-19,1,54,2014-12-02,0
1749, 지옥이 뭐가 나빠,20142261,소노 시온,10036571,874,일본,2014-11-13,2014-11-13,10,116,2014-11-26,0
1774, 부니 베어: 롤라 구출 대모험,20143565,정량,10019781,17720,중국,2014-11-20,2014-11-20,112,834,2014-12-03,40967
1753, 카트,20136802,부지영,10031684,12522,한국,2014-11-13,2014-11-13,533,101033,2014-11-26,722336
1800, 윌리엄 텔,20143401,그레이엄 빅,20156980,3028,독일,2014-11-22,2014-11-22,4,11,2014-12-05,0
1795, 타락한 여자,20143629,아사히 마사시,20169503,0,일본,2014-11-20,2014-11-20,1,10,2014-12-03,0
1772, 못,20132796,서호빈,20166810,0,한국,2014-11-20,2014-11-20,18,303,2014-12-03,2103
1768, 꽃과 뱀 3,20143664,나리타 유스케,20199430,18,일본,2014-11-20,2014-11-20,4,217,2014-12-03,0
1777, 아빠를 빌려드립니다,20136312,김덕수,10003883,1088532,한국,2014-11-20,2014-11-20,324,13283,2014-12-03,157883
1810, 내 마음의 고향,20138061,박영철,20120221,228,한국,2014-11-27,2014-11-27,1,1,2014-12-10,41
1804, 가슴 사무라이-이단의 역습,20143392,히로세 료우,20199586,0,일본,2014-11-26,2014-11-26,1,54,2014-12-09,0
1824, 학교 가는길,20142690,이경묵|구중회,20195529|20197506,0,한국,2014-11-27,2014-11-27,17,109,2014-12-10,0
1837, 모텔 라이프,20144270,앨런 폴스키|가베 폴스키,10075944|10069739,0,미국,2014-12-04,2014-12-04,1,54,2014-12-17,0
1859, 스피릿 오브 베토벤,20144532,남평희,20204331,0,한국,2014-12-10,2014-12-10,1,291,2014-12-23,0
1839, 목숨,20141704,이창재,10057682,644296,한국,2014-12-04,2014-12-04,97,2746,2014-12-17,31766
1809, 꾸뻬씨의 행복여행,20142843,피터 첼섬,10085993,47237,영국,2014-11-27,2014-11-27,227,7932,2014-12-10,99264
1827, 헤멜,20135654,사샤 폴락,20168943,0,네덜란드,2014-11-27,2014-11-27,1,54,2014-12-10,0
1873, 스페이스 독 2,20144324,이나 예블라니코바|알렉산더 크람초프|바딤 소츠코프,10048638|10044567|10036691,42720,러시아,2014-12-11,2014-12-11,54,1958,2014-12-24,0
1829, 15소년 표류기: 해적섬을 탈출하라,20144001,나카무라 류타로,10007141,0,일본,2014-11-27,2014-11-27,18,159,2014-12-10,0
1838, 모텔 라이프,20144270,앨런 폴스키|가베 폴스키,10075944|10069739,0,미국,2014-12-04,2014-12-04,1,54,2014-12-17,0
1862, 원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,20144361,모리타 히로유키|혼고 미츠루,10026362|20171609,531544,일본,2014-12-10,2014-12-10,9,34,2014-12-23,1581
1876, 아너,20149387,샨 칸,10014153,0,영국,2014-12-11,2014-12-11,2,58,2014-12-24,0
1864, 창녀와 크리스마스,20144382,페트라 비온디아 볼페,20198526,0,스위스,2014-12-10,2014-12-10,1,10,2014-12-23,0
1863, 원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,20144361,모리타 히로유키|혼고 미츠루,10026362|20171609,531544,일본,2014-12-10,2014-12-10,9,34,2014-12-23,1581
1855, 몽키킹: 손오공의 탄생,20149959,정보서,10061773,4159,중국,2014-12-10,2014-12-10,18,435,2014-12-23,0
1866," 파리오페라 발레의 별, 아녜스",20143901,마를렌느 이오네스코,10056735,0,프랑스,2014-12-10,2014-12-10,8,468,2014-12-23,1047
1887, 국제시장,20137048,윤제균,10054492,4090973,한국,2014-12-17,2014-12-17,931,184756,2014-12-30,4869135
1872, 스페이스 독 2,20144324,이나 예블라니코바|알렉산더 크람초프|바딤 소츠코프,10048638|10044567|10036691,42720,러시아,2014-12-11,2014-12-11,54,1958,2014-12-24,0
