,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day14_date,day14_audience
87,은밀하게 위대하게 (확장판),한국,(주)쇼박스,1719001,14243353,15세이상관람가,액션|코미디|드라마,2013-08-05,1,166,2013-08-18,4462
88,스페이스 독,러시아,예지림엔터테인먼트,0,0,전체관람가|전체관람가,애니메이션|코미디|가족,2012-03-22,56,232,2012-04-04,36207
89,저스티스,미국,(주)쇼박스,200004,2423207,청소년관람불가,액션|드라마|스릴러,2012-03-15,138,4592,2012-03-28,44128
90,라 트라비아타,독일,(주)케빈앤컴퍼니,0,0,전체관람가,공연,2013-07-06,1,105,2013-07-19,935
91,더 울버린,미국,이십세기폭스코리아(주),662321,1557515,15세이상관람가|15세이상관람가,액션|SF,2013-07-25,694,138359,2013-08-07,1048689
92,영춘권 무림 절대 고수,중국,(주)소나무픽쳐스,27184,0,15세이상관람가,액션|코미디,2013-07-19,5,527,2013-08-01,3595
93,코스모폴리스,캐나다,(주)더블앤조이픽쳐스,41628,5195549,청소년관람불가,드라마,2013-06-27,23,789,2013-07-10,11213
94,더 테러 라이브,한국,롯데쇼핑㈜롯데엔터테인먼트,247,8349743,15세이상관람가,범죄|기타,2013-07-31,674,215832,2013-08-13,4190053
95,크로니클,미국,이십세기폭스코리아(주),399667,616375,15세이상관람가,액션|스릴러,2012-03-15,297,31489,2012-03-28,373875
96,터보,미국,씨제이이앤엠(주),0,2344840,전체관람가|전체관람가,애니메이션,2013-07-25,456,63108,2013-08-07,1527015
97,밀크 오브 소로우-슬픈 모유,스페인,㈜영화사 백두대간,0,0,15세이상관람가,드라마,2013-08-22,1,45,2013-09-04,519
98,청춘그루브,한국,(주)두타연|(주)미디어데이,1384062,1779682,15세이상관람가,드라마,2012-03-15,5,31,2012-03-28,857
99,개구쟁이 스머프 2,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),187849,2417988,전체관람가|전체관람가,애니메이션|코미디|가족,2013-08-01,377,92058,2013-08-14,777190
100,콩가네,한국,프리비젼엔터테인먼트,571,1292872,청소년관람불가,가족|코미디,2013-07-11,3,154,2013-07-24,712
101,더 웹툰: 예고살인,한국,씨제이이앤엠(주),1054431,2282276,15세이상관람가,공포(호러)|스릴러,2013-06-27,541,80164,2013-07-10,965352
102,브로큰,영국,판씨네마(주),0,618906,청소년관람불가,드라마,2013-07-18,16,312,2013-07-31,2647
103,시크릿,미국,(주)미디어데이,0,0,청소년관람불가,드라마|스릴러,2013-08-29,5,284,2013-09-11,1330
104,우리들의 헤어진 여자친구,한국,골든타이드픽처스(주),330,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,4,141,2013-09-11,514
105,렛 미 아웃,한국,㈜영화사 백두대간,1136978,45512,12세이상관람가,드라마|코미디,2013-08-15,10,135,2013-08-28,722
106,셀러브리티 섹스테이프,미국,(주)스넵쏘울,1024,204,청소년관람불가,코미디,2013-06-27,2,90,2013-07-10,1264
107,관음 - 욕망의 유희,한국,(주)케이알씨지,454,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,1,10,2013-09-11,200
108,페인리스,스페인,씨네그루(주)다우기술,0,1985,청소년관람불가,드라마|공포(호러),2013-08-08,25,733,2013-08-21,7054
109,관상,한국,(주)쇼박스,2692591,13247240,15세이상관람가,사극|드라마,2013-09-11,927,373552,2013-09-24,7165827
110,투 마더스,프랑스,(주)싸이더스,74704,600751,청소년관람불가,드라마,2013-08-22,198,11201,2013-09-04,69723
111,프리버즈: 밍쿠와 찌아의 도시 대탈출,아르헨티나,(주)영화사 빅,0,22526,전체관람가,애니메이션|어드벤처,2013-09-17,133,2342,2013-09-30,41926
112,킬링시즌,미국,(주)팝파트너스,234533,408277,청소년관람불가,액션|스릴러,2013-09-05,102,878,2013-09-18,9100
113,히든 카드,미국,이십세기폭스코리아(주),167673,0,청소년관람불가,범죄|스릴러,2013-09-26,350,23283,2013-10-09,151468
114,폭스파이어,프랑스,그린나래미디어(주),7743,0,15세이상관람가,드라마,2013-08-22,29,405,2013-09-04,7881
115,더 팩트,미국,스크린조이,0,40428,15세이상관람가,공포(호러)|미스터리,2013-08-14,4,260,2013-08-27,4390
116,건축학개론,한국,롯데쇼핑㈜롯데엔터테인먼트,251314,11955021,12세이상관람가,멜로/로맨스|드라마,2012-03-22,549,66580,2012-04-04,1811622
117,레드: 더 레전드,미국,롯데쇼핑㈜롯데엔터테인먼트,290568,4073329,15세이상관람가,액션|코미디|범죄,2013-07-18,497,131462,2013-07-31,2511270
118,죽지않아,한국,씨네굿,552,6835,청소년관람불가,스릴러|드라마,2013-08-08,9,150,2013-08-21,1146
119,"패션, 위험한 열정",독일,판씨네마(주),148402,1091254,청소년관람불가,스릴러,2013-08-14,18,377,2013-08-27,7847
120,일탈여행: 프라이빗 아일랜드,한국,(주)팝엔터테인먼트,7007,0,청소년관람불가,멜로/로맨스|드라마,2013-08-29,23,694,2013-09-11,3460
121,낭만파 남편의 편지,한국,(주)퍼스트런,4293,3526,청소년관람불가,드라마|가족|판타지,2013-09-12,6,114,2013-09-25,1038
122,몬스터 대학교,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),0,1722238,전체관람가|전체관람가,애니메이션,2013-09-12,273,9957,2013-09-25,654597
123,퍼시픽 림,미국,워너브러더스 코리아(주),263939,1174124,12세이상관람가|12세이상관람가,액션|SF|어드벤처,2013-07-11,961,209975,2013-07-24,2308511
124,언터처블: 1%의 우정,프랑스,(주)넥스트엔터테인먼트월드(NEW),40321,309480,12세이상관람가,코미디|드라마,2012-03-22,311,46216,2012-04-04,1046006
125,숨바꼭질,한국,(주)넥스트엔터테인먼트월드(NEW),1209082,5825557,15세이상관람가,스릴러,2013-08-14,623,293917,2013-08-27,4329186
126,가시꽃,한국,㈜인디스토리,11785,0,청소년관람불가,드라마,2013-08-22,10,103,2013-09-04,1429
127,감기,한국,아이러브시네마,853465,13477831,15세이상관람가,드라마|어드벤처|액션,2013-08-14,671,304661,2013-08-27,2789195
128,슈퍼스타,프랑스,(주)팝엔터테인먼트,3498,0,15세이상관람가,드라마,2013-08-01,3,16,2013-08-14,306
129,삼총사2013,미국,(주)케이알씨지,1,0,청소년관람불가,스릴러|액션,2013-08-29,3,260,2013-09-11,5410
130,블루 재스민,미국,(주)인벤트스톤,81090,1263441,15세이상관람가,드라마,2013-09-25,204,8659,2013-10-08,97320
131,베이트,호주,(주)팝파트너스,2784,367823,15세이상관람가,공포(호러),2013-08-08,54,1864,2013-08-21,15990
132,모테키: 모태솔로 탈출기,일본,(주)미디어데이,3653,0,15세이상관람가,코미디|멜로/로맨스,2013-09-26,6,340,2013-10-09,954
133,플레이스 비욘드 더 파인즈,미국,(주)미디어데이,48885,1105165,청소년관람불가,범죄|드라마,2013-08-01,30,756,2013-08-14,16035
134,그랑블루 리마스터링 감독판,프랑스,(주)팝파트너스,249530,137942,15세이상관람가,멜로/로맨스|드라마,2013-07-25,33,793,2013-08-07,12620
135,스프링 브레이커스,미국,(주)누리픽쳐스,0,1695742,청소년관람불가,코미디|드라마|범죄,2013-07-25,1,49,2013-08-07,468
136,나우 유 씨 미 : 마술사기단,미국,롯데쇼핑㈜롯데엔터테인먼트,1045768,5768997,12세이상관람가,범죄|액션|스릴러,2013-08-22,484,146606,2013-09-04,2313868
137,달팽이의 별,한국,(주)영화사조아,777,0,전체관람가,다큐멘터리,2012-03-22,33,699,2012-04-04,10928
138,리골레토,미국,(주)인스터피씨엠,0,0,전체관람가,공연|드라마|멜로/로맨스,2013-09-28,2,61,2013-10-11,478
139,전쟁과 한 여자,일본,(주)엣나인필름,0,27832,청소년관람불가,드라마,2013-08-15,2,70,2013-08-28,582
140,언터처블: 1%의 우정,프랑스,(주)넥스트엔터테인먼트월드(NEW),40321,309480,12세이상관람가,코미디|드라마,2012-03-22,311,46216,2012-04-04,1046006
141,탱고 위드 미,벨기에,(주)에스와이코마드,16116,56451,청소년관람불가,드라마,2013-08-29,7,145,2013-09-11,2116
142,콘트라밴드,미국,유니버설픽쳐스인터내셔널 코리아(유),169993,0,청소년관람불가,액션|스릴러,2012-03-22,173,6742,2012-04-04,52743
143,아브라함 링컨 VS 좀비 ,미국,(유)조이앤컨텐츠그룹,0,24,청소년관람불가,액션|코미디|공포(호러),2013-09-20,1,680,2013-10-03,5510
144,체온 ? 그녀의 온도,일본,(주)미디어데이,800,0,청소년관람불가,드라마|멜로/로맨스,2013-09-26,5,371,2013-10-09,1591
145,잡스,미국,(주)넥스트엔터테인먼트월드(NEW),0,5746515,12세이상관람가,드라마,2013-08-29,400,33062,2013-09-11,223391
146,페르소나,스웨덴,㈜영화사 백두대간,3727,67030,청소년관람불가,드라마,2013-07-25,1,69,2013-08-07,960
147,일대종사,중국,CGV아트하우스,80668,1572367,12세이상관람가,액션|드라마,2013-08-22,190,8790,2013-09-04,85455
148,러시안 소설,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),36766,119145,15세이상관람가,드라마|미스터리,2013-09-19,11,227,2013-10-02,3749
149,밀레니엄 : 제2부 불을 가지고 노는 소녀,스웨덴,팝엔터테인먼트,2457,334393,청소년관람불가,스릴러,2012-03-22,5,56,2012-04-04,1358
150,나에게서 온 편지,프랑스,프리비젼엔터테인먼트,0,13688,12세이상관람가,코미디,2013-08-08,17,411,2013-08-21,7330
