,actor_code,filmo,filmo_code,average_audience
13103,20121743,가문의 영광5 - 가문의 귀환,20128687,22770
13083,10067760,인카네이트,20174841,0
13155,10011684,원더 우먼,20168261,37800
13082,10041654,인카네이트,20174841,249407
13156,10076151,원더 우먼,20168261,72869
13198,20277849,델타 보이즈,20162972,0
13076,10008060,노무현입니다,20174602,97411
13084,20111089,꿈의 제인,20160483,8026
13127,20111894,반창꼬,20124399,410069
13125,10087820,반창꼬,20124399,2321286
13098,10053579,가문의 영광5 - 가문의 귀환,20128687,240952
13081,10009990,아메리칸 패스토럴,20175204,559492
13075,10000222,네루다,20174182,111220
13121,10045773,레미제라블,20128274,1414627
13120,10014740,레미제라블,20128274,570109
13088,10049790,대립군,20169348,687360
13118,10027360,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,20128247,3110
13107,20183656,가문의 영광5 - 가문의 귀환,20128687,0
13117,10050908,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,20128247,194300
13152,10000433,원더 우먼,20168261,1174635
13129,10070514,반창꼬,20124399,316
13105,20121744,가문의 영광5 - 가문의 귀환,20128687,0
13137,20183589,반창꼬,20124399,0
13131,20182504,반창꼬,20124399,0
13136,20183553,반창꼬,20124399,0
13160,10049165,7번째 내가 죽던 날,20174803,38305
13157,10049156,원더 우먼,20168261,8117
13148,10057136,아무르,20122101,20639
13134,20182856,반창꼬,20124399,0
13184,20232465,파워배틀 와치카: 와치가면의 역습,20175581,81315
13113,10051543,가문의 영광5 - 가문의 귀환,20128687,4189499
13173,20196672,우리들의 일기,20170941,0
13106,10057669,가문의 영광5 - 가문의 귀환,20128687,0
13197,20277829,델타 보이즈,20162972,0
13161,10063439,7번째 내가 죽던 날,20174803,0
13108,20135565,가문의 영광5 - 가문의 귀환,20128687,0
13102,20121742,가문의 영광5 - 가문의 귀환,20128687,0
13132,20182521,반창꼬,20124399,0
13191,10076441,미이라,20166488,3240370
13111,10054152,가문의 영광5 - 가문의 귀환,20128687,23875
13151,10063852,주먹왕 랄프,20129388,295068
13178,10001907,우리들의 일기,20170941,947510
13123,10088863,레미제라블,20128274,416550
13187,10041056,미이라,20166488,670870
13119,10090817,레미제라블,20128274,1058073
13099,10035832,가문의 영광5 - 가문의 귀환,20128687,2084853
13126,10021341,반창꼬,20124399,1711375
13171,20120882,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20176141,48724
13177,20278049,우리들의 일기,20170941,0
13172,20238067,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20176141,45851
13164,20115463,바다 탐험대 옥토넛 시즌4: 더 파이널,20174821,46585
13096,10062240,가문의 영광5 - 가문의 귀환,20128687,1048112
13170,20277650,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20176141,0
13141,20181586,반창꼬,20124399,0
13196,10000622,나는 고양이로소이다,20175601,8036
13166,10054374,바다 탐험대 옥토넛 시즌4: 더 파이널,20174821,58192
