,movie_name,director_average
435, 폭렬닌자 키사라기,1
436, 필링 인사이드,0
437, 수호지-영웅천하 손립,88
438, 스시 걸,0
439, 극장판 요술공주 밍키: 꿈 속의 윤무,249807
440, 나폴레옹 토레스전투,0
441, 노란 코끼리,1075
442, 더 파이브,0
443, 데드 엔드,452
444, 러빙 이비자: 섹슈얼아일랜드,601
445, 로또 간호사,0
446, 밀레니엄 : 제3부 벌집을 발로 찬 소녀,2988
447, 별이 빛나는 밤,0
448, 어머니,1694
449, 온 투어,1890
450, 철권: 블러드 벤전스,0
451, 코난: 암흑의 시대,223975
452, 헝거게임: 판엠의 불꽃,13743
453, 간기남,1144238
454, 배틀쉽,507704
455, 인류멸망 보고서,2413489
456, 로빈슨 주교의 두 가지 사랑,0
457, 메탈리카 스루 더 네버,141071
458, 벨벳키스2-금지된사랑,55
459, 변태 가면,0
460, 블랙 가스펠,0
461, 사랑은 마법처럼,0
462, 스콘드: 잔혹 불륜사,2370
463, 잉투기,255546
464, 진링의 13소녀,291614
465, 체브라시카,0
466, 친구 2,1505543
467, 카운슬러,818474
468, 터미네이터 2 : 심판의 날 감독판,2583148
469, 퍼펙트 호스트,0
470, 혈적자: 황제암살단,92019
471, 프란체스카 다 리미니,0
472, 오렌지,0
473, 제 5원소 리마스터링 감독판,250744
474, 흑협 2,101483
475, 결혼전야,411340
476," 꽃잎, 춤",1465
477, 롤플레이2 : 동침,599
478, 마세티 킬즈,58658
479, 불륜의 맛,26
480, 사이비,3910616
481, 섹스중독자들,10
482," 소설, 영화와 만나다",1253075
483, 여변호사 성희롱사건,0
484, 완전 소중한 사랑,180513
485, 위기의 남자들,5883
486, 전망 좋은 하우스 - 관음적 욕망 ,5010
487, 청춘정담,0
488, 트릭,334704
489, 필스,0
490, 하늘에서 음식이 내린다면 2,0
491, 헝거게임: 캣칭 파이어,1155506
492, 혐오스런사쿠라코의일생,19
493, 수호지-의적유당,986
494, 월드 워 좀비,5
495, 갬빗,32549
496, 고양이 소녀,575
497, 극장판 토리코 : 미식신의 스페셜메뉴,0
498, 논스톱: 분노의 질주,0
499, 두부요괴,104335
500, 리딕,186236
501, 머드 ,7964
502, 버틀러: 대통령의 집사,2086
503, 분노의 파이터,54
504, 붉은 바캉스 검은 웨딩 2,2308
505, 뷰티풀 차일드,9788
506, 사랑은 당신,0
507, 산타의 매직 크리스탈,0
508, 선배의 첫경험레슨,6
509, 안녕?! 오케스트라,614009
510, 열한시,1550403
511, 잉여들의 히치하이킹,0
512, 창수,469335
513, 카라스: 레블레이션,826
514, 테레사 팔머의 감금,0
515, 하루,2581
516, 호세마리아 신부의 길,355020
517, 올모스트 차밍,0
518, 킬 좀비,0
519, 크레이지 샤크,1132
520, 푸셔: 파이널 프로젝트,0
521, 격전,10463
522, 극장판 슈타인즈 게이트: 부하영역의 데자뷰,0
523, 글로리아,0
524, 동사서독 리덕스,88726
525, 마리아짱의유혹,15
526, 베일,0
527, 스파이크,65827
528, 어바웃 타임,959016
529, 여자가 사랑할때,792
530, 영 앤 뷰티풀,10996
531, 오르가즘 다이어리,0
532, 오싱,1350
533, 이스케이프 플랜,147498
534, 인시디어스: 두번째 집,1549350
535, 컴퍼니 유 킵,62245
536, 코비: 블루 엘리펀트의 전설,0
537," 페어웰, 마이 퀸",4783
538, 표적이 된 학원,0
539, 화려한 외출,845445
540, 집으로 가는 길,834378
541, 공각기동대 어라이즈 보더: 2 고스트 위스퍼스,381
542, 그 강아지 그 고양이,0
543, 비밀의 화방,4940
544, 사라진 기억,0
545, 어웨이크닝,60
546, 오피서 다운,0
547, 운명의 산 낭가 파르밧,11945
548, 풍경,3952
549, 프라미스드 랜드 ,40459
550, 플래티나 데이터,2798
551, 호빗: 스마우그의 폐허,2066036
552, 화양: 당대최고수전,773
553, 그녀의 비밀,22
554, 내 아내의 남자친구,0
555, 러브액츄얼리: 크리스마스 에디션,2639625
556, 비버,24481
557, 열두살 샘,0
558, 이민자,1275820
559, 천국의 전쟁,0
560, O의 정사2,5
561, 섹스 콜렉터 2,9
562," 실종, 어느날납치된소녀",87
563," 실종, 완벽한 사육",9
564, 더 박스,477
565, 듀엣,330
566, 변호인,0
567, 봉배도저,76802
568, 수호지-신비술사,989
569, 캐치미,0
570, 21 앤드 오버,0
571, 그래버스,189
572, 그렇게 아버지가 된다,38493
573, 다락방의 토이 스토리,0
574, 다이노소어 어드벤처 3D,501907
575, 로렌스 애니웨이,21362
