,movie_name,movie_code,director_name,director_code,nation,release_date,day1_screen,day1_audience,day8_date,day8_audience,director_sum
155, 우리들의 헤어진 여자친구,20131692,이광호,20178440,한국,2013-08-29,4,141,2013-09-05,337,0
156, 일탈여행: 프라이빗 아일랜드,20131984,한상희,10087516,한국,2013-08-29,23,694,2013-09-05,2519,2985999
157, 잡스,20139265,조슈아 마이클 스턴,10066325,미국,2013-08-29,400,33062,2013-09-05,198066,100032
158, 짚의 방패,20131202,미이케 다카시,10027427,일본,2013-08-29,30,1186,2013-09-05,4395,25158
159, 탱고 위드 미,20130705,프레더릭 폰테인,10084857,벨기에,2013-08-29,7,145,2013-09-05,1344,25158
160, 할매,20126528,김지곤,20128778,한국,2013-08-29,1,5,2013-09-05,216,215483
161, 할매-시멘트정원,20137561,김지곤,20128778,한국,2013-08-29,1,5,2013-09-05,30,54220
162, 2 데이즈 인 뉴욕,20130703,줄리 델피,10069302,프랑스,2013-08-29,19,390,2013-09-05,3465,0
163, 개똥이,20120109,김병준,20167143,한국,2013-09-05,6,29,2013-09-12,480,383336
164, 더블샤크,20131401,크리스토퍼 레이,20120079,미국,2013-09-05,5,330,2013-09-12,4410,383336
165, 뫼비우스,20139461,김기덕,10003696,한국,2013-09-05,123,4959,2013-09-12,30300,507425
166, 미스체인지,20130706,정초신,10062335,한국,2013-09-05,38,285,2013-09-12,6054,10
167, 바람이 분다,20132082,미야자키 하야오,10027387,일본,2013-09-05,274,12191,2013-09-12,94621,258824
168, 블링 링,20130708,소피아 코폴라,10036760,미국,2013-09-05,29,567,2013-09-12,4243,221
169, 섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,20132461,잘만 킹,10059601,미국,2013-09-05,18,720,2013-09-12,824,73132
170, 스파이,20124086,이승준,20128609,한국,2013-09-05,695,133131,2013-09-12,1277741,0
171, 시체 전문 처리반 - 스머글러,20131941,이시이 카츠히토,10056380,일본,2013-09-05,6,375,2013-09-12,1406,0
172, 잔다라: 더 비기닝,20132241,M.L. 반데바노프 데바쿤,20132566,태국,2013-09-05,12,154,2013-09-12,1600,0
173, 천안함 프로젝트,20137585,백승우,20110853,한국,2013-09-05,33,1258,2013-09-12,8370,0
174, 콜드 워,20131713,써니 럭|렁록만,20178040|20178041,홍콩,2013-09-05,18,396,2013-09-12,2285,453895
175, 킬링시즌,20131203,마크 스티븐 존슨,10024255,미국,2013-09-05,102,878,2013-09-12,8860,548488
176, 포가튼 : 잊혀진 소녀,20130667,알렉스 슈미트,20176340,독일,2013-09-05,10,138,2013-09-12,1639,1159
177, 마리아 스투아르다,20135271,데이비드 맥비카,20178821,미국,2013-09-07,2,49,2013-09-14,162,0
178, 관상,20126091,한재림,10087712,한국,2013-09-11,927,373552,2013-09-18,3847363,0
179, 낭만파 남편의 편지,20125228,최위안,10072560,한국,2013-09-12,6,114,2013-09-19,721,955175
180, 늑대인간,20132962,후안 마르티네즈 모레노,10090527,스페인,2013-09-12,1,201,2013-09-19,1553,0
181, 몬스터 대학교,20135001,댄 스캔론,20168024,미국,2013-09-12,273,9957,2013-09-19,347303,1
182, 부에노스 아이레스에서 사랑에 빠질 확률,20131281,구스타보 타레토,20177680,아르헨티나,2013-09-12,10,247,2013-09-19,6228,0
183, 섀도우 헌터스: 뼈의 도시,20129588,해럴드 즈워트,10086779,미국,2013-09-12,352,34177,2013-09-19,359054,0
184, 슈퍼배드 2,20122089,크리스 리노드|피에르 꼬팽,20112359|20100020,미국,2013-09-12,303,6262,2013-09-19,447284,0
185, 우리 선희,20137041,홍상수,10089497,한국,2013-09-12,38,2129,2013-09-19,24708,129645
186, 퍼시 잭슨과 괴물의 바다,20137562,쏘어 프류덴탈,10040954,미국,2013-09-12,380,12304,2013-09-19,301393,486
187, 아메리칸 배틀쉽,20132742,썬더 레빈,10035733,미국,2013-09-16,2,520,2013-09-23,3482,18774
188, 알렉산더 : 절대 영웅의 탄생,20132963,이고르 카리오노프,20178740,러시아,2013-09-17,1,203,2013-09-24,1358,17515
189, 컨저링,20131381,제임스 완,10064265,미국,2013-09-17,304,81130,2013-09-24,974182,0
190, 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,아르헨티나,2013-09-17,133,2342,2013-09-24,40004,4682
191, 러시안 소설,20127526,신연식,10040499,한국,2013-09-19,11,227,2013-09-26,2379,1022
192, 아브라함 링컨 VS 좀비 ,20132966,리차드 쉔크만,10020134,미국,2013-09-20,1,680,2013-09-27,4550,996303
