,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
70, 까밀 리와인드,20134068,노에미 르보브스키,10008136,0,프랑스,2013-07-18,2013-07-18,23,1078,2013-07-31,13882,노에미 르보브스키|사미르 구에스미|욜랭드 모로|미셸 빌레모
62, 사이드 이펙트,20139723,스티븐 소더버그,10039429,257342,미국,2013-07-11,2013-07-11,165,4096,2013-07-24,37089,주드 로|루니 마라|채닝 테이텀|캐서린 제타-존스|앤 도드
80, 극장판 도라에몽: 진구의 비밀도구 박물관,20139383,테라모토 유키요,10079674,227043,일본,2013-07-25,2013-07-25,225,8445,2013-08-07,116768,미즈타 와사비|오오하라 메구미
96, 스톨른,20130251,사이먼 웨스트,10034365,319469,미국,2013-07-31,2013-07-31,13,664,2013-08-13,2440,니콜라스 케이지|말린 애커맨|조쉬 루카스
59, 넥스트 투모로우,20130389,트레비스 포트,20176120,0,미국,2013-07-11,2013-07-11,3,180,2013-07-24,1380,패트릭 라비오토
104, 은밀하게 위대하게 (확장판),20131304,장철수,10060556,1719001,한국,2013-08-05,2013-08-05,1,166,2013-08-18,4462,김수현|박기웅|이현우|손현주
150, 스페이스 독,20124939,이나 예블라니코바|스비야토슬라브 우샤코프 ,10048638|20127323,0,러시아,2012-03-22,2012-03-22,56,232,2012-04-04,36207,엘레나 야코블레바|안나 볼쇼바
82, 저스티스,20124932,로저 도널드슨,10017708,200004,미국,2012-03-15,2012-03-15,138,4592,2012-03-28,44128,니콜라스 케이지|가이 피어스|재뉴어리 존스
58, 라 트라비아타,20139824,후고 데 아나,20175044,0,독일,2013-07-06,2013-07-06,1,105,2013-07-19,935,박효주|이진희|하석|조한철|김광현|김용진
81, 더 울버린,20137121,제임스 맨골드,10064101,662321,미국,2013-07-25,2013-07-25,694,138359,2013-08-07,1048689,휴 잭맨|사나다 히로유키|윌 윤 리
78, 영춘권 무림 절대 고수,20130592,장동조,10060121,27184,중국,2013-07-19,2013-07-19,5,527,2013-08-01,3595,백정|여소군
43, 코스모폴리스,20138882,데이빗 크로넨버그,10012121,41628,캐나다,2013-06-27,2013-06-27,23,789,2013-07-10,11213,로버트 패틴슨|줄리엣 비노쉬|폴 지아마티|제이 바루첼|케빈 두런드|사만다 모튼
94, 더 테러 라이브,20136052,김병우,10004291,247,한국,2013-07-31,2013-07-31,674,215832,2013-08-13,4190053,하정우|이경영|전혜진|이다윗|이재관|이춘연|장성환|전려경|박수화|김홍파|김대명|최진호
84, 크로니클,20124666,조쉬 트랭크,20126769,399667,미국,2012-03-15,2012-03-15,297,31489,2012-03-28,373875,데인 드한|알렉스 러셀|마이클 B. 조던|애슐리 힌쇼
92, 터보,20137549,데이빗 소렌,20171784,0,미국,2013-07-25,2013-07-25,456,63108,2013-08-07,1527015,라이언 레놀즈|폴 지아마티|마이클 페나|사무엘 L. 잭슨|루이스 구즈만|스눕 독|미쉘 로드리게즈
134, 밀크 오브 소로우-슬픈 모유,20131721,클로디아 로사,20178046,0,스페인,2013-08-22,2013-08-22,1,45,2013-09-04,519,마갈리 솔리에르|수지 산체스
83, 청춘그루브,20116038,변성현,10031356,1384062,한국,2012-03-15,2012-03-15,5,31,2012-03-28,857,봉태규|이영훈|곽지민|이재원|임효라|장민철|구본웅|조민식|한경탁|홍희연|이연수|이영민|박종근|변성현|신근철|라미란|이영란
97, 개구쟁이 스머프 2,20136761,라자 고스넬,10014146,187849,미국,2013-08-01,2013-08-01,377,92058,2013-08-14,777190,박명수|닐 패트릭 해리스|크리스티나 리치|알란 커밍|행크 아자리아|케이티 페리|제이마 메이스
67, 콩가네,20124031,남기웅,10007504,571,한국,2013-07-11,2013-07-11,3,154,2013-07-24,712,김병옥|윤다경|심은진|서효명|김동범|정완희|정재필|정희원|김동민|최종렬|김준영|박정혁|박형진|송동규|김병옥|기주봉
36, 더 웹툰: 예고살인,20129114,김용균,10005097,1054431,한국,2013-06-27,2013-06-27,541,80164,2013-07-10,965352,이시영|엄기준|정현태|문가영|권해효
72, 브로큰,20122230,루퍼스 노리스,20168766,0,영국,2013-07-18,2013-07-18,16,312,2013-07-31,2647,킬리언 머피|팀 로스|엘로이스 로렌스
158, 시크릿,20132321,니콜라스 자렉키,10008712,0,미국,2013-08-29,2013-08-29,5,284,2013-09-11,1330,리차드 기어|수잔 서랜든
161, 우리들의 헤어진 여자친구,20131692,이광호,20178440,330,한국,2013-08-29,2013-08-29,4,141,2013-09-11,514,주영호|심호성|오연재|임은정
126, 렛 미 아웃,20125232,소재영|김창래,10036678|10005983,1136978,한국,2013-08-15,2013-08-15,10,135,2013-08-28,722,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정
40, 셀러브리티 섹스테이프,20139921,스콧 휠러,20175362,1024,미국,2013-06-27,2013-06-27,2,90,2013-07-10,1264,잭 컬리슨|조나단 브렛|콜버트 알렘버트|하워드 카이
144, 관음 - 욕망의 유희,20131823,이세일,10056085,454,한국,2013-08-29,2013-08-29,1,10,2013-09-11,200,강세미
113, 페인리스,20130443,후앙 카를로스 메디나,10090552,0,스페인,2013-08-08,2013-08-08,25,733,2013-08-21,7054,알렉스 브렌데뮬|토마스 레마르쿼즈|데렉 드 린트
184, 관상,20126091,한재림,10087712,2692591,한국,2013-09-11,2013-09-11,927,373552,2013-09-24,7165827,송강호|이정재|백윤식|조정석|이종석|김혜수|신기원|윤종구|윤희원|이도엽|권영각|김길동|정준식|조훈휘|표유신|하정수|한만영|노준표|문혜진|박진우|전신환|김강현|유재명|김의성|정대용
141, 투 마더스,20130821,앤 폰테인,10045760,74704,프랑스,2013-08-22,2013-08-22,198,11201,2013-09-04,69723,나오미 왓츠|로빈 라이트|자비에르 사무엘|제임스 프레체빌|벤 멘델슨
195, 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,0,아르헨티나,2013-09-17,2013-09-17,133,2342,2013-09-30,41926,마리아노 마르티네즈|루이사나 로필라토|김민국|송지아
181, 킬링시즌,20131203,마크 스티븐 존슨,10024255,234533,미국,2013-09-05,2013-09-05,102,878,2013-09-18,9100,로버트 드니로|존 트라볼타|마일로 벤티밀리아
213, 히든 카드,20131630,브래드 퍼맨,10032080,167673,미국,2013-09-26,2013-09-26,350,23283,2013-10-09,151468,저스틴 팀버레이크|벤 애플렉|젬마 아터튼
142, 폭스파이어,20138481,로랑 캉테,10016116,7743,프랑스,2013-08-22,2013-08-22,29,405,2013-09-04,7881,앨리 리버트|케이티 코시니|타마라 호프|레이븐 애덤스
116, 더 팩트,20131083,니콜라스 맥카시,20178062,0,미국,2013-08-14,2013-08-14,4,260,2013-08-27,4390,케이티 롯츠|캐스퍼 반 디엔|헤일리 허드슨
147, 건축학개론,20124074,이용주,10056822,251314,한국,2012-03-22,2012-03-22,549,66580,2012-04-04,1811622,엄태웅|한가인|이제훈|배수지|고준희|조정석|박지은|신민영|신예진|유연석|조현철|박진우|김의성|이승호
71, 레드: 더 레전드,20136962,딘 패리소트,10013627,290568,미국,2013-07-18,2013-07-18,497,131462,2013-07-31,2511270,브루스 윌리스|존 말코비치|메리-루이스 파커|이병헌|캐서린 제타-존스|안소니 홉킨스|헬렌 미렌
111, 죽지않아,20127587,황철민,10090354,552,한국,2013-08-08,2013-08-08,9,150,2013-08-21,1146,이봉규|차래형|한은비|이무생
121," 패션, 위험한 열정",20130541,브라이언 드 팔마,10031773,148402,독일,2013-08-14,2013-08-14,18,377,2013-08-27,7847,레이첼 맥아담스|누미 라파스
162, 일탈여행: 프라이빗 아일랜드,20131984,한상희,10087516,7007,한국,2013-08-29,2013-08-29,23,694,2013-09-11,3460,손은서|신소율|다은|김진선|한재범|공동욱|한광수
