,movie_name,nation,distribution,director_sum,actor_sum,rate_score,genre,first_genre,genre_sum,release_date,day1_screen,day1_audience,day15_date,day_score,day15_audience,rate,news7
152,퍼펙트,0.184566,0.05,3033,1536206,0.01975,864919,액션,2174050.555,2013-09-25,115,2775,2013-10-09,73516.73841,17991,청소년관람불가,0
153,인카네이트,0.184566,0.05,991867,249407,0.15883,424331,스릴러,424331.00399999996,2017-05-25,229,3218,2017-06-08,71291.06637,18015,15세이상관람가,0
154,칠드런 오브 맨,0.021345,0.05,1190068,462342,0.15883,744323,SF,1800946.594,2016-09-22,45,1489,2016-10-06,70775.25036,18130,15세이상관람가,18
155,코드네임 제로니모,0.184566,0.05,4438,978819,0.15883,744323,액션,744323.4968,2012-12-13,104,2330,2012-12-27,97994.94836000001,18175,15세이상관람가,0
156,더 헌트,0.021345,0.05,3698,665030,0.15883,864919,드라마,864919.5959999999,2013-01-24,33,1066,2013-02-07,73663.1849,18250,15세이상관람가,20
157,행복 목욕탕,0.010716,0.05,1,136357,0.22784000000000001,864919,가족,1147617.755,2017-03-23,98,1614,2017-04-06,45560.01591,18353,12세이상관람가,33
158,로스트 인 파리,0.021345,0.05,5070,10140,0.22784000000000001,621589,멜로/로맨스,687251.4379,2017-05-18,85,1657,2017-06-01,65032.983270000004,18357,12세이상관람가,21
159,케빈에 대하여,0.021345,0.05,0,1533630,0.01975,864919,드라마,1289250.6,2012-07-26,16,989,2012-08-09,100293.7164,18515,청소년관람불가,19
160,슬립리스: 크리미널 나이트,0.184566,0.05,0,1364449,0.15883,744323,액션,1733461.9630000002,2017-03-08,153,2226,2017-03-22,45550.6135,18678,15세이상관람가,10
161,러브레이스,0.184566,0.05,0,1465326,0.01975,864919,드라마,864919.5959999999,2013-10-17,148,2134,2013-10-31,56346.24612,18764,청소년관람불가,20
