,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
643,상하이 콜링,미국,오드,0,0,15세이상관람가,다큐멘터리,2013-12-24,5,200,2014-01-06,0
644,요리사와의 불륜,일본,(주)영화사폴,0,0,청소년관람불가,드라마|성인물(에로),2013-12-24,1,10,2014-01-06,0
645,에비던스,미국,(주)수키픽쳐스,229014,0,12세이상관람가,멜로/로맨스|코미디|드라마,2013-12-26,5,281,2014-01-08,1532
646,썬더와 마법저택,벨기에,포커스 온,606697,3539540,15세이상관람가,액션|스릴러|범죄,2013-12-24,312,18726,2014-01-06,772604
647,금지된 알바,일본,(유)조이앤컨텐츠그룹,0,0,청소년관람불가,멜로/로맨스|드라마,2013-12-31,1,10,2014-01-13,0
648,몽정애-꿈 속의 여인,한국,(주)미디어로그,0,0,청소년관람불가,공포(호러)|스릴러,2013-12-31,1,10,2014-01-13,0
649,건,미국,(유)조이앤컨텐츠그룹,0,0,청소년관람불가,멜로/로맨스,2013-12-26,5,330,2014-01-08,1539
650,타잔 3D,독일,(주)케이알씨지,121663,60146,청소년관람불가,멜로/로맨스|드라마,2014-01-09,389,40777,2014-01-22,569744
651,굿모닝 하트에이크,이탈리아,(주)미디어데이,0,13233,청소년관람불가,액션|스릴러,2014-01-09,4,18,2014-01-22,330
652,더 울프 오브 월스트리트,미국,(주)싸이더스,231424,1759656,전체관람가|전체관람가,애니메이션|액션|어드벤처,2014-01-09,333,38282,2014-01-22,521235
653,마테호른,네덜란드,㈜인디스토리,0,0,청소년관람불가,멜로/로맨스,2014-01-09,9,209,2014-01-22,3117
654,포르노 아티스트,스페인,주식회사 우리네트웍스,0,0,청소년관람불가,범죄|드라마,2013-12-26,5,765,2014-01-08,0
655,최민수의 어쌔씬 코드,미국,(재)전주국제영화제조직위원회,0,196113,15세이상관람가,드라마|코미디,2013-12-24,5,210,2014-01-06,2080
656,마드모아젤 C,프랑스,(주)소나무픽쳐스,0,0,청소년관람불가,드라마|코미디,2014-01-02,6,378,2014-01-15,1507
657,살인자,한국,(유)조이앤컨텐츠그룹,0,0,청소년관람불가,액션,2014-01-15,161,12131,2014-01-28,88119
658,용의자,한국,(주)미디어데이,708157,11178582,전체관람가,다큐멘터리,2013-12-24,806,334061,2014-01-06,3176504
659,캡틴 하록,일본,(주)영화사 빅,292,3216896,청소년관람불가,스릴러,2014-01-16,120,1893,2014-01-29,16877
660,배틀 오브 비보이,미국,(주)쇼박스,3650,0,15세이상관람가,액션|스릴러,2014-01-09,72,2745,2014-01-22,0
661,특수경찰: 스페셜 ID,중국,(주)박수엔터테인먼트,7260,160826,12세이상관람가|12세이상관람가,애니메이션|어드벤처|SF,2014-01-09,0,0,2014-01-22,0
662,청춘예찬,한국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),0,3578547,12세이상관람가,드라마,2014-01-02,3,5,2014-01-15,0
663,타인의 아내를 사랑하다,스페인,(주)팝엔터테인먼트,0,0,15세이상관람가,액션|범죄,2014-01-09,5,652,2014-01-22,0
664,클린스킨,영국,(주)씨타마운틴픽쳐스,0,0,청소년관람불가,드라마,2014-01-01,5,200,2014-01-14,0
665,소울 오브 브레드,대만,(주)소나무픽쳐스,0,106924,청소년관람불가,멜로/로맨스|코미디|스릴러,2013-12-26,3,19,2014-01-08,811
