,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
105,핑크,20112702,한국,(주)씨타마운틴픽쳐스,청소년관람불가,드라마,전수일,이승연|서갑숙|이원종|장병문|정현호|권종현|주경철|김푸름|이지환|박주석|박현우|신상호,수진|옥련|경수|핑크손님들|핑크손님들|오토바이남|폐가청소년들|폐가청소년들|전경들|핑크손님들|상국|전경들
106,홈 스위트 홈,20111957,한국,이미지팩토리,청소년관람불가,드라마,문시현,김영훈|유애경|이광수|임성권|정해영|정희섭|조영직|허진호|이미란|오진우|김종수,태수|세라|신욱|경찰서형사들|보험사 직원/꽃 배달원|경찰서형사들|고시원 남자|태수 고향친구|동네주민커플|마 선생
107,단지부인 오후의 불륜,20125323,일본,(주)인디플러그,청소년관람불가,성인물(에로),사토 토시키,사와다 나츠코|하즈키 호타루,
108,목마른 그녀의 금단의 사랑,20125325,일본,(주)인디플러그,청소년관람불가,성인물(에로),사노 가즈히로,키시 카나코|하노 카즈히로,
109,몰래 보고 싶은 여인,20125324,일본,(주)인디플러그,청소년관람불가,성인물(에로),스즈키 토시히사,사와다 토모히로|사와다 나츠코,
110,백의의 유부녀-굶주린 형수님,20125321,일본,(주)인디플러그,청소년관람불가,성인물(에로),우에노 토시야,에바타 히데히사|혼다 키쿠지로,
111,빨간 욕정-꿈의 정사,20125322,일본,(주)인디플러그,청소년관람불가,성인물(에로),우에노 토시야,아카츠 마키코|카와나 마이,
112,가을 소나타,20070396,스웨덴,㈜영화사 백두대간,12세이상관람가,드라마,잉마르 베리만,잉그리드 버그만|리브 울만,
113,건축학개론,20124074,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스|드라마,이용주,엄태웅|한가인|이제훈|배수지|고준희|조정석|박지은|신민영|신예진|유연석|조현철|박진우|김의성|이승호,현재 승민 |현재 서연 |과거 승민|과거 서연|납득이|넥탕매장점원|도아아키텍처직원|싱숭이|재욱|택시기사|강 교수|서연 부
114,달팽이의 별,20100752,한국,(주)영화사조아,전체관람가,다큐멘터리,이승준,조영찬|김순호,영찬|순호
115,밀레니엄 : 제2부 불을 가지고 노는 소녀,20124906,스웨덴|덴마크|독일,팝엔터테인먼트,청소년관람불가,스릴러,다니엘 알프레드슨,누미 라파스|미카엘 니크비스트,
116,스페이스 독,20124939,러시아,예지림엔터테인먼트,전체관람가|전체관람가,애니메이션|코미디|가족,이나 예블라니코바|스비야토슬라브 우샤코프,엘레나 야코블레바|안나 볼쇼바,스트렐카 |벨카 
117,양자탄비,20124951,중국,(주)엠레콘,15세이상관람가,액션|코미디,강문,주윤발|강문|갈우,
118,언터처블: 1%의 우정,20124142,프랑스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디|드라마,올리비에르 나카체|에릭 토레다노,프랑수아 클뤼제|오마 사이,필립|드리스
119,콘트라밴드,20124873,미국|영국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션|스릴러,발타자르 코루마쿠르,마크 월버그|케이트 베킨세일,크리스 페러데이 |케이트 페러데이 
120,해로 (偕老),20111074,한국,(주)키노아이디엠씨,12세이상관람가,드라마,최종태,주현|예수정|이태구|정은옥|정택준|최부경|최진영|최진영|이상구|이상준|배준성|유상현|유승호|이경자|우현,민호|희정|호철아들|희정대역|연날리는 아이2|조무사2|간호사4|호철딸|화투치는 사람2|의사4|민호대역|의사5|화투치는사람1|환자보호자
121,교수와 여제자2,20125127,프랑스,(주)피터팬픽쳐스,청소년관람불가,멜로/로맨스,장 클로드 브리소,카롤 브라나|아노드 비나드,산드린|그렉
122,그녀가 떠날 때,20124947,독일,(주)스크린와이즈,15세이상관람가,드라마,페오 알라다그,시벨 케킬리|데리아 알라보라,
123,데드 앤 곤,20125366,미국,㈜코리아스크린,청소년관람불가,미스터리|공포(호러),요시 새슨,쿠엔틴 존스|캐서린 베이츠,잭|프랭키
124,디어 한나,20113485,영국,(주)영화사 진진,청소년관람불가,드라마,패디 콘시딘,피터 뮬란|올리비아 콜만|에디 마산,조셉|한나
125,세이지: 육지의 물고기,20125148,일본,(주)영화사 조제,청소년관람불가,드라마,이세야 유스케,니시지마 히데토시|모리야마 미라이|유우키 나에,
126,시체가 돌아왔다,20124051,한국,씨제이이앤엠(주),15세이상관람가,범죄|드라마,우선호,이범수|류승범|김옥빈|정만식|유다인|신정근|고창석|정인기|오정세|배정남|최동헌|김병오|최태환|박혜인|서성만|윤석진|손종학,백현철|안진오|한동화|스티브 정|장하연|조팀장|성구|한진수|명관|종무|경호원4|경호원7|경호원6|보험사여직원|경호원8|경호원5|상례가게 주인
127,전쟁 주식회사,20088391,미국,(유)조이앤컨텐츠그룹,청소년관람불가,범죄|드라마,조슈아 세프텔,존 쿠삭|조앤 쿠삭|힐러리 더프|마리사 토메이,
128,타이탄의 분노,20124717,미국,워너브러더스 코리아(주),12세이상관람가,액션|판타지,조나단 리브스만,샘 워싱턴|리암 니슨|랄프 파인즈|로자먼드 파이크|대니 휴스턴,페르세우스 |제우스 |하데스 |안드로메다 |포세이돈 
