,movie_name,movie_code,director_name,director_code,release_date,nation
213, 머펫 대소동,20126588,제임스 보빈,20166822,2012-05-18,미국
214, S 중독,20126593,카모가와 테츠로,20121101,2012-05-18,일본
215, 그리움의 종착역,20100466,조성형,10065949,2012-05-24,한국
216, 극장판 썬더일레븐GO : 궁극의 우정 그리폰,20125806,미야오 요시카즈,20112841,2012-05-24,일본
217, 맨 인 블랙 3,20113885,배리 소넨필드,10030916,2012-05-24,미국
218, 머신건 프리처,20125486,마크 포스터,10024440,2012-05-24,미국
219," 안녕, 하세요!",20126333,임태형,10058881,2012-05-24,한국
220, 여비서,20126687,히로타 미키오,10090995,2012-05-24,일본
221, 천국의 아이들,20124044,박흥식,20110989,2012-05-24,한국
222, 할머니는 일학년,20125208,진광교,10070411,2012-05-24,한국
223, U.F.O.,20111686,공귀현,20112654,2012-05-24,한국
224, 로델린다,20124365,스티븐 워즈워스,20166520,2012-05-29,미국
225, 미확인 동영상 : 절대클릭금지,20110312,김태경,20111601,2012-05-30,한국
226, 셋 업,20126591,마이크 건서,20126365,2012-05-30,미국
227, 스노우 화이트 앤 더 헌츠맨,20113745,루퍼트 샌더스,20127329,2012-05-30,미국
228, 차형사,20124065,신태라,10040658,2012-05-30,한국
229, 다른나라에서,20124350,홍상수,10089497,2012-05-31,한국
230, 블루 발렌타인,20126026,데릭 시엔프랜스,20128509,2012-05-31,미국
231, 엄마에게,20090105,이홍재,10058231,2012-05-31,한국
232, 파이판,20111400,제이민,20128589,2012-05-31,중국
233, 마다가스카3 : 이번엔 서커스다!,20124136,에릭 다넬|톰 맥그라스|콘래드 베논,10048039|10080866|10076486,2012-06-06,미국
234, 프로메테우스,20125086,리들리 스콧,10019469,2012-06-06,미국
235, 후궁 : 제왕의 첩,20113533,김대승,10003845,2012-06-06,한국
236, 슈퍼스타,20125430,임진순,10058831,2012-06-07,한국
237, 금의위 : 14 검의 비밀,20126573,이인항,10057088,2012-06-14,홍콩
238, 더 스토닝,20112715,사이러스 노라스테,10034320,2012-06-14,미국
239, 더 씽,20126617,매티스 반 헤이닌겐 주니어,20128809,2012-06-14,미국
240, 락아웃: 익스트림미션,20124946,제임스 매더스|스테판 St. 레게르,10064084|20128130,2012-06-14,미국
241, 방황하는 소녀들,20127226,위트 스틸먼,10052913,2012-06-14,미국
242, 사다코 3D : 죽음의 동영상,20125646,하나부사 츠토무,20127909,2012-06-14,일본
243, 시작은 키스!,20126408,다비드 포앙키노스|스테판 포엔키노스,20128730|10038811,2012-06-14,프랑스
244, 지알로,20127087,다리오 아르젠토,10009624,2012-06-14,미국
245, 음란한 여교사의 알바,20127387,코우야 타다시,20166403,2012-06-15,일본
246, 파우스트,20124366,데스 맥가너프,20166583,2012-06-19,미국
247, 모든 여자에게 거짓이 있다,20127492,호우 라충소|호라이 타다아키,20129650|20167863,2012-06-20,일본
248, 뉴타입 히어로 얏타맨,20126590,히시다 마사카즈|사사가와 히로시,20129369|20129370,2012-06-21,일본
249, 두 개의 문,20112443,김일란|홍지유,10005439|10089864,2012-06-21,한국
250, 두 번의 결혼식과 한 번의 장례식,20124061,김조광수,10005655,2012-06-21,한국
251, 미쓰GO,20113532,박철관,10029406,2012-06-21,한국
252, 설마 그럴리가 없어,20126624,조성규,10065915,2012-06-21,한국
253, 스페셜 포스,20126508,스테판 리보자드,20128749,2012-06-21,프랑스
254, 슬럿,20127389,하갈 벤 애셔,20129632,2012-06-21,독일
255, 아부의 왕,20124055,정승구,10061917,2012-06-21,한국
256, 페이스 블라인드,20126413,줄리앙 마그넷,10069553,2012-06-21,미국
257, I AM,20113553,최진성,10072781,2012-06-21,한국
258, 네 무덤에 침을 뱉어라,20127507,스티븐 R. 몬로,10039654,2012-06-28,미국
259," 동학, 수운 최제우",20127633,박영철,20120221,2012-06-28,한국
260, 러버즈 고무옷의 그녀,20127491,와타나베 타카후미,20129649,2012-06-28,일본
261, 레드나잇,20127632,줄리앙 카본|로랑 코티오드,10069560|10016117,2012-06-28,홍콩
262, 빅뱅,20127631,토니 크란츠,10080200,2012-06-28,미국
263, 어메이징 스파이더맨,20126077,마크 웹,10024339,2012-06-28,미국
264, 음란한 여간호사,20127566,코우야 타다시,20166403,2012-06-28,일본
265, 캐빈 인 더 우즈,20126566,드류 고다드,10013220,2012-06-28,미국
266, 폭풍의 언덕,20126506,안드레아 아놀드,10043309,2012-06-28,영국
267, 해피 해피 브레드,20126446,미시마 유키코,20128649,2012-06-28,일본
