,movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
89, 밀월도 가는 길,20112018,양정호,20114312,한국,2012-03-08,2012-03-08,1,99,2012-03-21,1048
90, 스탠리의 도시락 ,20124726,아몰 굽트,20127325,인도,2012-03-08,2012-03-08,125,1601,2012-03-21,42943
91, 은실이,20112861,김선아|박세희,20113131|20114946,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
92, 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,미국,2012-03-08,2012-03-08,462,41747,2012-03-21,717951
93, 태어나서 미안해,20112071,최영석,10072471,한국,2012-03-08,2012-03-08,1,6,2012-03-21,201
94, 화차,20124050,변영주,10031365,한국,2012-03-08,2012-03-08,456,74855,2012-03-21,1761276
95, 서약,20124874,마이클 수치,10023193,미국,2012-03-14,2012-03-14,284,37219,2012-03-27,232646
96, 가비,20111774,장윤현,10060414,한국,2012-03-15,2012-03-15,315,23878,2012-03-28,266138
97, 마이 백 페이지,20113483,야마시타 노부히로,10046558,일본,2012-03-15,2012-03-15,7,124,2012-03-28,2049
98, 야색야동,20125336,이세일,10056085,한국,2012-03-15,2012-03-15,1,5,2012-03-28,0
99, 용문비갑,20124944,서극,10035347,중국,2012-03-15,2012-03-15,1,270,2012-03-28,0
100, 저스티스,20124932,로저 도널드슨,10017708,미국,2012-03-15,2012-03-15,138,4592,2012-03-28,44128
101, 청춘그루브,20116038,변성현,10031356,한국,2012-03-15,2012-03-15,5,31,2012-03-28,857
102, 크로니클,20124666,조쉬 트랭크,20126769,미국,2012-03-15,2012-03-15,297,31489,2012-03-28,373875
103, 킬링 타임,20119516,박성수 ,20111994,한국,2012-03-15,2012-03-15,1,31,2012-03-28,155
104, 핑크,20112702,전수일,10061331,한국,2012-03-15,2012-03-15,11,60,2012-03-28,922
105, 홈 스위트 홈,20111957,문시현,20112401,한국,2012-03-15,2012-03-15,4,11,2012-03-28,282
106, 단지부인 오후의 불륜,20125323,사토 토시키,10034619,일본,2012-03-21,2012-03-21,1,2,2012-04-03,0
107, 목마른 그녀의 금단의 사랑,20125325,사노 가즈히로,10033798,일본,2012-03-21,2012-03-21,1,2,2012-04-03,0
108, 몰래 보고 싶은 여인,20125324,스즈키 토시히사,20166477,일본,2012-03-21,2012-03-21,1,2,2012-04-03,0
109, 백의의 유부녀-굶주린 형수님,20125321,우에노 토시야,20166467,일본,2012-03-21,2012-03-21,1,2,2012-04-03,0
110, 빨간 욕정-꿈의 정사,20125322,우에노 토시야,20166467,일본,2012-03-21,2012-03-21,1,2,2012-04-03,0
111, 가을 소나타,20070396,잉마르 베리만,10059012,스웨덴,2012-03-22,2012-03-22,1,44,2012-04-04,919
112, 건축학개론,20124074,이용주,10056822,한국,2012-03-22,2012-03-22,549,66580,2012-04-04,1811622
113, 달팽이의 별,20100752,이승준,10056267,한국,2012-03-22,2012-03-22,33,699,2012-04-04,10928
114, 밀레니엄 : 제2부 불을 가지고 노는 소녀,20124906,다니엘 알프레드슨,10009399,스웨덴,2012-03-22,2012-03-22,5,56,2012-04-04,1358
115, 스페이스 독,20124939,이나 예블라니코바|스비야토슬라브 우샤코프 ,10048638|20127323,러시아,2012-03-22,2012-03-22,56,232,2012-04-04,36207
116, 양자탄비 ,20124951,강문,10000589,중국,2012-03-22,2012-03-22,29,148,2012-04-04,1432
117, 언터처블: 1%의 우정,20124142,올리비에르 나카체|에릭 토레다노,20126649|20126650,프랑스,2012-03-22,2012-03-22,311,46216,2012-04-04,1046006
118, 콘트라밴드,20124873,발타자르 코루마쿠르,10029772,미국,2012-03-22,2012-03-22,173,6742,2012-04-04,52743
119, 해로 (偕老),20111074,최종태,10072725,한국,2012-03-22,2012-03-22,18,208,2012-04-04,3211
120, 교수와 여제자2,20125127,장 클로드 브리소,10059888,프랑스,2012-03-28,2012-03-28,1,9,2012-04-10,0
121, 그녀가 떠날 때,20124947,페오 알라다그,20127330,독일,2012-03-29,2012-03-29,12,300,2012-04-11,4967
122, 데드 앤 곤,20125366,요시 새슨,20127581,미국,2012-03-29,2012-03-29,0,0,2012-04-11,0
123, 디어 한나,20113485,패디 콘시딘,10082446,영국,2012-03-29,2012-03-29,10,345,2012-04-11,6527
124, 세이지: 육지의 물고기,20125148,이세야 유스케,10056081,일본,2012-03-29,2012-03-29,0,0,2012-04-11,450
125, 시체가 돌아왔다,20124051,우선호,10052136,한국,2012-03-29,2012-03-29,402,47998,2012-04-11,803974
126, 전쟁 주식회사,20088391,조슈아 세프텔,10066333,미국,2012-03-29,2012-03-29,1,100,2012-04-11,0
127, 타이탄의 분노,20124717,조나단 리브스만,10065332,미국,2012-03-29,2012-03-29,505,71799,2012-04-11,873647
128," 혜원아, 사랑해",20113991,김기현,10003742,한국,2012-03-29,2012-03-29,2,8,2012-04-11,0
129, 지크프리트,20124362,로베르트 르빠쥬,20166320,미국,2012-04-04,2012-03-29,0,0,2012-04-17,4
130, 밀레니엄 : 제3부 벌집을 발로 찬 소녀,20124907,다니엘 알프레드슨,10009399,스웨덴,2012-04-05,2012-04-05,8,83,2012-04-18,999
131, 별이 빛나는 밤,20113723,수유 린,10037555,대만,2012-04-05,2012-04-05,20,140,2012-04-18,3161
132, 어머니,20112465,태준식,10079546,한국,2012-04-05,2012-04-05,19,473,2012-04-18,2757
133, 온 투어,20113484,마티유 아말릭,10024645,프랑스,2012-04-05,2012-04-05,3,93,2012-04-18,1280
134, 철권: 블러드 벤전스,20125388,모우리 요이치,20127605,일본,2012-04-05,2012-04-05,1,1,2012-04-18,0
135, 코난: 암흑의 시대,20125106,마커스 니스펠,10023966,미국,2012-04-05,2012-04-05,195,4209,2012-04-18,32982
136, 헝거게임: 판엠의 불꽃,20124127,게리 로스,10001139,미국,2012-04-05,2012-04-05,461,39051,2012-04-18,526960
137, 간기남,20124032,김형준,10006353,한국,2012-04-11,2012-04-11,332,103609,2012-04-24,922769
138, 배틀쉽,20112134,피터 버그,10085782,미국,2012-04-11,2012-04-11,649,387879,2012-04-24,2035507
139, 인류멸망 보고서,20068590,김지운,10005852,한국,2012-04-11,2012-04-11,227,34502,2012-04-24,97140
140, 비버,20112884,조디 포스터,10065670,미국,2012-04-12,2012-04-12,26,537,2012-04-25,4157
141, 열두살 샘,20125026,구스타보 론,20128109,스페인,2012-04-12,2012-04-12,13,169,2012-04-25,4445
142, 이민자,20124942,크리스 웨이츠,10077177,미국,2012-04-12,2012-04-12,16,135,2012-04-25,2886
143, 천국의 전쟁,20048736,카를로스 레이가다스,10073527,멕시코,2012-04-12,2012-04-12,1,4,2012-04-25,98
144, O의 정사2,20125931,카타오카 슈지,20115338,일본,2012-04-13,2012-04-13,1,75,2012-04-26,0
145, 섹스 콜렉터 2,20125932,에노모토 토시로,10047425,일본,2012-04-14,2012-04-14,1,75,2012-04-27,0
146," 실종, 어느날납치된소녀",20125968,조조 히데오 / 죠죠 히데오,10066963,일본,2012-04-16,2012-04-16,1,75,2012-04-29,0
147," 실종, 완벽한 사육",20125933,후지와라 켄이치,10090660,일본,2012-04-17,2012-04-17,1,75,2012-04-30,0
148, 더 박스,20098164,리처드 켈리,10020265,미국,2012-04-19,2012-04-19,14,319,2012-05-02,3276
149, 듀엣,20125526,이상빈,10055857,한국,2012-04-19,2012-04-19,7,45,2012-05-02,798
150, 로봇,20111825,S. 샹카르,20127569,인도,2012-04-19,2012-04-19,35,255,2012-05-02,0
151, 리그렛,20125335,세드릭 칸,10035925,프랑스,2012-04-19,2012-04-19,5,295,2012-05-02,5111
152, 멋진 악몽,20125286,미타니 코키,10027705,일본,2012-04-19,2012-04-19,19,347,2012-05-02,6091
153, 시간의 숲,20125746,송일곤,10037178,한국,2012-04-19,2012-04-19,5,36,2012-05-02,1313
154," 아내, 애인 그리고 맛있는 섹스",20125808,구아타보 니에토 로아,10002206,콜롬비아,2012-04-19,2012-04-19,0,0,2012-05-02,0
155, 애딕티드,20125966,호르모즈,20128529,프랑스,2012-04-19,2012-04-19,0,0,2012-05-02,0
156, 점프 아쉰,20125207,린 유쉰,10020832,대만,2012-04-19,2012-04-19,8,46,2012-05-02,601
157, 크레이지 호스,20125046,프레데릭 와이즈만,10085041,미국,2012-04-19,2012-04-19,3,9,2012-05-02,944
158, 킹메이커,20125126,조지 클루니,10067224,미국,2012-04-19,2012-04-19,95,4861,2012-05-02,44876
159, 픽쳐 미 : 모델 다이어리,20125726,올레 쉘|사라 지프,20127989|20127990,미국,2012-04-19,2012-04-19,1,16,2012-05-02,0
160, 하늘이 보내준 딸,20125307,비자이,20127812,인도,2012-04-19,2012-04-19,97,1425,2012-05-02,16573
161, 하트 브레이커,20113201,파스칼 쇼메유,20128253,프랑스,2012-04-19,2012-04-19,172,4082,2012-05-02,40736
162, 에로틱 사이렌,20125935,오카모토 후토시,20166437,일본,2012-04-20,2012-04-20,1,75,2012-05-03,0
163, 음란한 게이샤의 정사,20125936,아라키 겐지,20166442,일본,2012-04-21,2012-04-21,1,75,2012-05-04,0
164," 불륜, 와이프의 여동생",20125934,타지리 유지,10079308,일본,2012-04-23,2012-04-23,1,76,2012-05-06,0
165, 은교,20124066,정지우,10062256,한국,2012-04-25,2012-04-25,486,60122,2012-05-08,1075806
166, 타이타닉 2,20126142,쉐인 반 다이크,20128534,미국,2012-04-25,2012-04-25,0,0,2012-05-08,0
167, 너무 밝히는 소녀 알마,20111826,야니케 시스타드 야콥슨,20128069,노르웨이,2012-04-26,2012-04-26,3,15,2012-05-09,751
168, 레드마리아,20100551,경순,10054749,한국,2012-04-26,2012-04-26,11,64,2012-05-09,1722
169," 봄, 눈",20113556,김태균,10006086,한국,2012-04-26,2012-04-26,101,1899,2012-05-09,18338
170, 아르마딜로,20112482,야누스 메츠 패더슨,20128310,덴마크,2012-04-26,2012-04-26,15,218,2012-05-09,4511
171, 아버지는 개다,20119433,이상우,20111446,한국,2012-04-26,2012-04-26,1,11,2012-05-09,109
172, 어벤져스,20124721,조스 웨던,10066368,미국,2012-04-26,2012-04-26,846,214105,2012-05-09,4360844
173, 짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,20125427,마스이 소이치,20127649,일본,2012-04-26,2012-04-26,160,1997,2012-05-09,233143
174, 트로피컬 마닐라,20081510,이상우,20111446,한국,2012-04-26,2012-04-26,1,8,2012-05-09,59
